match_score,claude_score,title,company,location,salary,salary_midpoint,source,posted_date,matched_skills,growth_potential,fit_reasoning,concern,url
9.2,82.0,"Business Analyst , Worldwide Grocery Stores (WWGS)",Amazon.com,"Irvine, CA, US","$70,400 – $107,400",88900,indeed,2026-02-24,"sql, r, tableau, excel, visualization",high,strong SQL and BA alignment,AI platform migration may be new,https://www.indeed.com/viewjob?jk=4127dfc7c74e225c
7.0,82.0,Data Analyst,The Walt Disney Company,"Burbank, CA, US","$89,000 – $119,300",104150,indeed,2026-05-10,"sql, r, tableau, excel",high,excellent title and skills alignment,Disney compensation may trail tech peers,https://www.indeed.com/viewjob?jk=f1c1c2c6a1416f98
9.8,78.0,Sr. Sales Analyst,MiniMed,"Los Angeles, CA, US","$83,200 – $124,800",104000,indeed,2026-05-10,"sql, r, tableau, project management, excel, business analytics, presenting, data analysis",high,"strong fit, good salary upside",Medical device domain knowledge gap,https://www.indeed.com/viewjob?jk=59f728030203c7f9
7.7,78.0,Business Analyst/Data Analyst,DT Professional Services,"Norco, CA, US",$nan – $nan,,indeed,2026-05-10,"r, excel, presenting, data analysis",medium,direct BA/DA title and skills match,Likely lower salary ceiling at this firm,https://www.indeed.com/viewjob?jk=f50f0c2ecbdfa337
8.2,76.0,Data Analytics Analyst,Canon,"Irvine, CA, US","$69,300 – $103,770",86535,indeed,2026-05-10,"python, sql, r, business analytics, visualization",medium,RevOps analytics strong alignment,Salesforce CRM experience not listed,https://www.indeed.com/viewjob?jk=aebd24aac4a6f13e
8.6,72.0,"Sr Analyst, Network Analytics",SCAN Health Plan,"Long Beach, CA, US","$147,900 – $254,798",201349,indeed,2026-05-10,"python, sql, r, excel, visualization",medium,healthcare analytics good fit,Network/provider analytics specificity gap,https://www.indeed.com/viewjob?jk=19fbbc88e544bcdb
8.2,72.0,"Business Intelligence Engineer, IMDb",Amazon.com,"Santa Monica, CA, US","$99,500 – $160,000",129750,indeed,2026-04-28,"python, sql, r, tableau, excel, visualization",high,strong BI and SQL alignment,Amazon expects senior-level BI depth,https://www.indeed.com/viewjob?jk=09e68746f0a90c82
6.4,72.0,Marketing Analyst - Paid Media,Apple,"Culver City, CA, US","$110,400 – $168,500",139450,indeed,2026-05-09,"python, sql, r, tableau, excel, visualization",high,"strong analytics fit, Apple prestige",paid media domain gap,https://www.indeed.com/viewjob?jk=7f139b88d8524373
7.6,70.0,"Data Scientist, Media Revenue and Subscriptions",Apple,"Culver City, CA, US","$163,300 – $245,800",204550,indeed,2026-05-09,"python, sql, r, excel",high,"subscription analytics, strong skill overlap",Apple DS roles skew toward senior/PhD candidates,https://www.indeed.com/viewjob?jk=c1b95c8c276792e2
7.8,65.0,"Sr. Analyst, Continuous Improvement Engineering",The Walt Disney Company,"Burbank, CA, US","$129,300 – $170,300",149800,indeed,2026-05-10,"r, tableau, project management, excel, data analysis, visualization",medium,ops and analytics skills match well,Engineering-heavy role may need deeper tech stack,https://www.indeed.com/viewjob?jk=385155bacc6cb405
6.7,62.0,Model Risk Analyst,Sunflower Bank,"Irvine, CA, US","$85,000 – $95,000",90000,indeed,2026-05-10,"python, sql, r, excel, business analytics, data analysis, visualization",medium,"finance analytics fit, niche model risk",Specialized model risk domain may limit broader growth,https://www.indeed.com/viewjob?jk=78ce1cadf0965689
6.5,62.0,Junior Business Systems Analyst - Women's Fashion,"Edgemine, Inc.","Los Angeles, CA, US","$55,000 – $75,000",65000,indeed,2026-05-11,"python, sql, r, excel",medium,"decent fit, junior title concern","junior title, likely underpays",https://www.indeed.com/viewjob?jk=3c6f9ec4b5f1e18a
8.6,58.0,Workday People Analytics & Reporting Analyst,Auto Club of Southern Calif,"Costa Mesa, CA, US","$99,500 – $132,900",116200,indeed,2026-05-10,"r, tableau, excel, data analysis, visualization",low,"HR analytics fit, Workday gap",No Workday platform experience listed,https://www.indeed.com/viewjob?jk=a8eee0e67e2f56e0
8.7,55.0,Korean bilingual Data - Logistics Risk Analyst (Contract),Green Doors International LKC,"Santa Ana, CA, US","$79,999 – $80,000",79999,indeed,2026-05-11,"sql, r, tableau, excel, data analysis",low,"skills fit, language barrier risk",Korean bilingual requirement missing,https://www.indeed.com/viewjob?jk=32e3e64af4dc8e05
7.0,55.0,"Data Scientist, Product Analytics",Whatnot,"Los Angeles, CA",$nan – $nan,,linkedin,2026-05-10,,medium,no description to evaluate fit,No job description available for assessment,https://www.linkedin.com/jobs/view/4327121745
12.8,52.0,"Senior Product Data Scientist in Causal Inference and ML, App Store",Apple,"Culver City, CA, US","$171,600 – $302,200",236900,indeed,2026-05-09,"python, sql, r, machine learning, regression, diff-in-diff",high,"causal inference match, seniority gap",Senior/Apple-scale likely out of reach,https://www.indeed.com/viewjob?jk=ed1d43b6bc1e32de
7.6,50.0,Mission Analytics Engineer,Anduril,"Irvine, CA, US","$113,000 – $149,000",131000,indeed,2026-05-10,"python, r, artificial intelligence, excel",medium,mission analytics needs defense background,Defense clearance and domain gap likely required,https://www.indeed.com/viewjob?jk=7bb2e78f29a52723
11.0,38.0,Principal Data Scientist,Headspace,"Los Angeles, CA, US","$162,000 – $258,750",210375,indeed,2026-05-10,"python, sql, r, tableau",medium,principal level too senior,Principal-level well beyond 3 yrs,https://www.indeed.com/viewjob?jk=d79c105f18a3b3a1
8.0,38.0,"Principal Economist, Ads Econ",Amazon.com,"Culver City, CA, US","$208,300 – $281,800",245050,indeed,2026-04-28,"python, r, machine learning, excel",low,"overleveled, PhD economics expected","Principal-level requires PhD, deep econ expertise",https://www.indeed.com/viewjob?jk=9d8c3c42bea2c847
8.3,35.0,Senior Visualization Engineer - Microstrategy,SYSTECH USA,"Glendale, CA, US",$nan – $nan,,indeed,2026-05-10,"sql, r, excel, visualization",low,"visualization skills present, tool mismatch","No MicroStrategy experience, 5yr req",https://www.indeed.com/viewjob?jk=3d9d37bdb1ebc7e9
9.3,28.0,"Principal Product Manager Tech, Prime Video Personalization & Discovery",Amazon.com,"Culver City, CA, US","$179,900 – $279,900",229900,indeed,2026-03-24,"r, machine learning, project management, excel",low,"wrong discipline, product mgmt focus","Product management, not analytics role",https://www.indeed.com/viewjob?jk=6ae073bb9907b697
6.5,28.0,"Sr. Solutions Architect - ISV , ATLAS",Amazon Web Services,"Irvine, CA, US","$153,600 – $239,000",196300,indeed,2026-04-27,"r, excel",low,"cloud architecture role, poor fit",Requires deep AWS cloud architecture expertise,https://www.indeed.com/viewjob?jk=fdd5eda1032ca038
5.4,22.0,"Sr. Solution Architect, Amazon Shipping",Amazon.com,"Santa Monica, CA, US","$153,600 – $228,600",191100,indeed,2026-02-10,"r, excel, presenting",low,"architecture role, seniority gap",solution architecture exp missing,https://www.indeed.com/viewjob?jk=9a27273e9b37330a
6.1,18.0,"Sr Manager, UX Research, Prime Video Experience Design (PVXD)",Amazon.com,"Culver City, CA, US","$219,100 – $296,500",257800,indeed,2026-04-02,"r, excel",low,"leadership role, wrong discipline",UX research management mismatch,https://www.indeed.com/viewjob?jk=493d3604c8aa3ee0
5.8,5.0,"Welding Automation Engineer, Chamber and Nozzle (Raptor)",SpaceX,"Hawthorne, CA, US","$100,000 – $135,000",117500,indeed,2026-05-10,"python, r, machine learning",low,entirely wrong skill set,no engineering or welding background,https://www.indeed.com/viewjob?jk=12ab73f311fa4cc2
